"filename", "language", "Java", "HTML", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\home.css", "CSS", 0, 0, 0, 0, -110, -4, -15, -129
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\lab0\lab0.css", "CSS", 0, 0, 0, 0, -131, 0, -21, -152
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\root.css", "CSS", 0, 0, 0, 0, -65, -3, -9, -77
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\webSite.css", "CSS", 0, 0, 0, 0, -158, -6, -25, -189
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\check-svgrepo-com.svg", "XML", 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\free-icon-font-calculator-simple-10489562.svg", "XML", 0, 0, -2, 0, 0, 0, -1, -3
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\free-icon-font-graduation-cap-3914115.svg", "XML", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\heart-svgrepo-com.svg", "XML", 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\home-svgrepo-com.svg", "XML", 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\struct-16-svgrepo-com.svg", "XML", 0, 0, -4, 0, 0, 0, 0, -4
"Total", "-", 591, -697, -13, -324, -669, -30, -131, -1273
